latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,-18000,America/New_York,GMT-5
,,,,,
time,temperature_2m (%C),weather_code (wmo code),precipitation (mm),wind_speed_100m (km/h),
2024-10-22T07:00,15.5,3,0,37.1,
2024-10-22T08:00,14.7,3,0,29.8,
2024-10-22T09:00,14.6,2,0,27.2,
2024-10-22T10:00,14,0,0,21.4,
2024-10-22T11:00,11.6,2,0,19.3,
2024-10-22T12:00,10.3,0,0,19.5,
2024-10-22T13:00,9.9,1,0,22.1,
2024-10-22T14:00,9.6,0,0,22.1,
2024-10-22T15:00,9.3,1,0,24,
2024-10-22T16:00,9.1,1,0,24.7,
2024-10-22T17:00,8.9,1,0,24.8,
2024-10-22T18:00,8.8,1,0,25.1,
2024-10-22T19:00,8.7,0,0,24.7,
2024-10-22T20:00,8.1,0,0,23.6,
2024-10-22T21:00,7.9,0,0,22.2,
2024-10-22T22:00,7.7,0,0,20.7,
2024-10-22T23:00,7.3,0,0,19.8,
2024-10-23T00:00,7.1,0,0,19.4,
2024-10-23T01:00,6.9,0,0,18.2,
2024-10-23T02:00,8.2,0,0,17.6,
2024-10-23T03:00,9.8,0,0,17.1,
2024-10-23T04:00,11.4,0,0,11.7,
2024-10-23T05:00,13.1,2,0,14.2,
2024-10-23T06:00,13.9,1,0,14.3,
2024-10-23T07:00,14.5,3,0,13.7,
2024-10-23T08:00,14.1,3,0,10,
2024-10-23T09:00,14.1,2,0,7.9,
2024-10-23T10:00,13.3,1,0,4.8,
2024-10-23T11:00,13,0,0,2.4,
2024-10-23T12:00,10.1,0,0,2.4,
2024-10-23T13:00,9.3,0,0,8.7,
2024-10-23T14:00,9,0,0,13.7,
2024-10-23T15:00,8.1,1,0,14,
2024-10-23T16:00,8.4,2,0,17.1,
2024-10-23T17:00,8.7,0,0,16.9,
2024-10-23T18:00,7.2,0,0,15.2,
2024-10-23T19:00,6.5,0,0,15.1,
2024-10-23T20:00,4.1,0,0,12.7,
2024-10-23T21:00,4.3,3,0,11.5,
2024-10-23T22:00,4.8,3,0,15.5,
2024-10-23T23:00,5,3,0,18.6,
2024-10-24T00:00,5.3,3,0,21.4,
2024-10-24T01:00,5.3,3,0,24.2,
2024-10-24T02:00,6.2,3,0,24.6,
2024-10-24T03:00,7.4,3,0,23.4,
2024-10-24T04:00,9.5,1,0,21.5,
